1972,Acta Inf.
1973,Acta Inf.
1974,Acta Inf.
1975,Acta Inf.
1976,Acta Inf.
1977,Acta Inf.
1978,Acta Inf.
1979,Acta Inf.
1980,Acta Inf.
1981,Acta Inf.
1982,Acta Inf.
1983,Acta Inf.
1985,Acta Inf.
1986,Acta Inf.
1987,Acta Inf.
1988,Acta Inf.
1989,Acta Inf.
1991,Acta Inf.
1992,Acta Inf.
1993,Acta Inf.
1994,Acta Inf.
1995,Acta Inf.
1996,Acta Inf.
1997,Acta Inf.
2000,Acta Inf.
2002,Acta Inf.
2006,Acta Inf.
2008,Acta Inf.
2009,Acta Inf.
2011,Acta Inf.
2012,Acta Inf.
2013,Acta Inf.
2014,Acta Inf.
2015,Acta Inf.
2016,Acta Inf.
